,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.
,Unnamed: 0_level_1,Nat,Skater,JGP,CS,GP,Ch,WD,MeanEventTotal,MeanEventBV,MeanEventTES,MeanEventPCS,MeanJump,MeanSpin,MeanStep Seq,MeanChor Seq,MeanSS,MeanTR,MeanPE,MeanCO,MeanIN
32,33,🇰🇷,Chaeyeon Kim,2,0,0,0,0,189.96n=2,89.58n=2,104.98n=2,85.48n=2,7.19n=20,4.06n=12,4.34n=4,-n=0,7.25n=4,7.00n=4,7.11n=4,7.04n=4,7.02n=4
33,34,🇵🇱,Ekaterina Kurakova,0,3,2,1,0,189.67n=6,90.60n=6,98.49n=6,91.18n=6,6.18n=60,3.84n=36,4.82n=12,3.98n=6,7.47n=12,7.27n=12,7.61n=12,7.61n=12,7.69n=12
34,35,🇺🇸,Karen Chen,0,2,2,0,0,188.22n=4,83.08n=4,89.73n=4,99.74n=4,5.09n=40,4.15n=24,4.62n=8,4.65n=4,8.36n=8,8.17n=8,8.21n=8,8.46n=8,8.44n=8
35,36,🇧🇾,Viktoriia Safonova,0,3,1,1,0,187.85n=5,92.59n=5,100.97n=5,87.07n=5,6.77n=50,3.70n=30,3.70n=10,3.67n=5,7.29n=10,7.08n=10,7.26n=10,7.32n=10,7.23n=10
36,37,🇨🇦,Madeline Schizas,0,1,2,0,0,187.81n=3,88.31n=3,97.76n=3,90.05n=3,6.32n=30,3.83n=18,3.65n=6,4.31n=3,7.47n=6,7.27n=6,7.54n=6,7.56n=6,7.53n=6
37,38,🇺🇸,Lindsay Thorngren,2,1,0,0,0,186.54n=3,91.73n=3,101.21n=3,85.67n=3,6.79n=30,3.99n=18,4.00n=6,4.10n=1,7.25n=6,6.96n=6,7.07n=6,7.15n=6,7.03n=6
38,39,🇺🇸,Amber Glenn,0,2,2,0,0,185.92n=4,81.13n=4,91.28n=4,94.88n=4,5.72n=40,3.51n=24,4.31n=8,4.47n=4,8.01n=8,7.61n=8,7.88n=8,7.93n=8,7.94n=8
39,40,🇰🇷,Yeonjeong Park,0,1,1,0,0,185.09n=2,89.50n=2,95.81n=2,90.78n=2,5.97n=20,4.01n=12,4.09n=4,3.84n=2,7.60n=4,7.30n=4,7.49n=4,7.57n=4,7.57n=4
40,41,🇦🇿,Ekaterina Ryabova,0,1,2,1,0,184.54n=4,90.92n=4,97.37n=4,87.42n=4,6.40n=40,3.66n=24,3.82n=8,3.83n=4,7.36n=8,7.10n=8,7.36n=8,7.30n=8,7.32n=8
41,42,🇰🇷,Eunsoo Lim,0,0,2,0,0,183.13n=2,82.80n=2,90.12n=2,94.00n=2,5.94n=19,3.57n=12,4.33n=4,3.61n=2,8.06n=4,7.70n=4,7.77n=4,7.92n=4,7.90n=4
42,43,🇰🇷,Jia Shin,2,0,0,0,0,181.03n=2,88.51n=2,99.59n=2,82.44n=2,6.67n=20,3.89n=12,4.79n=4,-n=0,6.96n=4,6.61n=4,6.92n=4,6.82n=4,6.91n=4
43,44,🇷🇺,Sofia Samodurova,0,0,1,0,0,180.59n=1,83.84n=1,93.36n=1,87.23n=1,6.03n=10,3.60n=6,4.08n=2,3.29n=1,7.41n=2,7.07n=2,7.24n=2,7.38n=2,7.43n=2
44,45,🇯🇵,Yuhana Yokoi,0,0,2,1,0,178.78n=3,86.18n=3,90.93n=3,88.52n=3,5.88n=30,3.52n=18,3.37n=6,4.21n=3,7.48n=6,7.05n=6,7.40n=6,7.36n=6,7.44n=6
45,46,🇨🇦,Kaiya Ruiter,2,0,0,0,0,178.76n=2,89.95n=2,95.50n=2,83.76n=2,6.45n=20,3.73n=12,4.31n=4,-n=0,6.90n=4,6.68n=4,6.99n=4,6.99n=4,7.04n=4
46,47,🇪🇪,Niina Petrõkina,2,3,0,1,0,177.01n=6,86.10n=6,92.82n=6,84.86n=6,6.02n=60,3.59n=36,4.24n=12,3.94n=4,7.05n=12,6.87n=12,7.02n=12,7.09n=12,7.14n=12
